grade,leve,name,price,purch_url,time_remain
"
      86,067
    ",81,"
    俞飞影
    
      ","2999,00",,"
          13天23时
      "
"
      51,199
    ",69,"
    电动小舌头
    
      ","299,00",,"
          13天23时
      "
"
      113,502
    ",81,"
    丷悲歌
    
      ","5888,00",,"
          13天23时
      "
"
      55,441
    ",72,"
    风拂雪
    
      ","299,00",,"
          13天23时
      "
"
      75,848
    ",79,"
    万万没想到
    
      ","1800,00",,"
          13天22时
      "
"
      64,794
    ",80,"
    你看又出了紫装
    
      ","1700,00",,"
          13天22时
      "
"
      123,958
    ",80,"
    大宝ヾ
    
      ","13000,00",,"
          13天22时
      "
"
      71,278
    ",76,"
    无我剑道如长夜
    
      ","350,00",,"
          13天22时
      "
"
      133,517
    ",80,"
    温柔柔
    
      ","23800,00",,"
          13天22时
      "
"
      86,091
    ",79,"
    哦小羊又来了
    
      ","1399,00",,"
          13天22时
      "
"
      71,293
    ",78,"
    不忍相思潜入梦
    
      ","666,00",,"
          13天21时
      "
"
      84,825
    ",79,"
    青岚风月映江潮
    
      ","2800,00",,"
          13天21时
      "
"
      115,363
    ",79,"
    爱丽丝
    
      ","9999,00",,"
          13天21时
      "
"
      71,337
    ",79,"
    泾渭分明
    
      ","500,00",,"
          13天20时
      "
"
      86,721
    ",80,"
    仇溪绛
    
      ","1099,00",,"
          13天20时
      "
"
      67,218
    ",77,"
    葬花礼
    
      ","500,00",,"
          13天20时
      "
"
      57,643
    ",69,"
    方晓娜
    
      ","560,00",,"
          13天17时
      "
"
      90,152
    ",80,"
    白石
    
      ","1699,00",,"
          13天13时
      "
"
      67,118
    ",69,"
    惊鸿片影
    
      ","1399,00",,"
          13天12时
      "
"
      93,934
    ",80,"
    丷心心心心
    
      ","1700,00",,"
          13天11时
      "
"
      112,496
    ",81,"
    我不知道
    
      ","7500,00",,"
          13天11时
      "
"
      51,643
    ",70,"
    问鼎极光
    
      ","600,00",,"
          13天11时
      "
"
      72,869
    ",79,"
    张君兰
    
      ","999,00",,"
          13天10时
      "
"
      74,698
    ",78,"
    关中大侠
    
      ","1333,00",,"
          13天9时
      "
"
      97,262
    ",74,"
    逝舞
    
      ","4500,00",,"
          13天8时
      "
"
      106,172
    ",80,"
    看山看水应看我
    
      ","6888,00",,"
          13天8时
      "
"
      71,569
    ",76,"
    鹳雀
    
      ","999,00",,"
          13天8时
      "
"
      60,190
    ",78,"
    疑误玉臂寒
    
      ","388,00",,"
          13天8时
      "
"
      64,126
    ",73,"
    异域魔枭
    
      ","333,00",,"
          13天8时
      "
"
      117,730
    ",80,"
    我不是故意的
    
      ","10000,00",,"
          13天8时
      "
"
      119,581
    ",81,"
    樱栀兮ㄑ
    
      ","15555,00",,"
          13天7时
      "
"
      63,789
    ",78,"
    鸢儿姐姐
    
      ","799,00",,"
          13天7时
      "
"
      130,873
    ",80,"
    胡叭叉゛
    
      ","16789,00",,"
          13天6时
      "
"
      60,649
    ",73,"
    司马老儿
    
      ","299,00",,"
          13天6时
      "
"
      54,683
    ",76,"
    凌霄宗杨开
    
      ","299,00",,"
          13天5时
      "
"
      67,461
    ",74,"
    鹤雀
    
      ","699,00",,"
          13天5时
      "
"
      88,046
    ",80,"
    太叔
    
      ","2500,00",,"
          13天5时
      "
"
      60,138
    ",71,"
    清桐一隅
    
      ","1566,00",,"
          13天3时
      "
"
      108,301
    ",79,"
    迷妹ぃ
    
      ","10001,00",,"
          13天1时
      "
"
      57,108
    ",70,"
    醉看千里雪
    
      ","410,00",,"
          12天23时
      "
"
      81,213
    ",80,"
    会飞的五花肉
    
      ","1500,00",,"
          12天23时
      "
"
      95,042
    ",76,"
    夜灬如风
    
      ","7400,00",,"
          12天23时
      "
"
      110,557
    ",80,"
    卡爆起
    
      ","5500,00",,"
          12天22时
      "
"
      59,532
    ",69,"
    顽笑
    
      ","399,00",,"
          12天20时
      "
"
      71,847
    ",75,"
    素清风
    
      ","1000,00",,"
          12天18时
      "
"
      58,218
    ",69,"
    晴时明月べ
    
      ","350,00",,"
          12天15时
      "
"
      90,218
    ",79,"
    井茶
    
      ","4999,00",,"
          12天15时
      "
"
      120,593
    ",79,"
    枫秀ゝ
    
      ","16666,00",,"
          12天12时
      "
"
      64,108
    ",74,"
    未颜君之名
    
      ","500,00",,"
          12天12时
      "
"
      64,743
    ",70,"
    唐彡
    
      ","350,00",,"
          12天11时
      "
"
      74,913
    ",76,"
    木木木木木丶
    
      ","999,00",,"
          12天9时
      "
"
      91,050
    ",80,"
    天国的审判
    
      ","2200,00",,"
          12天8时
      "
"
      61,359
    ",70,"
    夏夜丶凌风
    
      ","498,00",,"
          12天8时
      "
"
      74,968
    ",77,"
    許凤年レ
    
      ","999,00",,"
          12天8时
      "
"
      71,322
    ",79,"
    かぞく灬胖嘟
    
      ","799,00",,"
          12天8时
      "
"
      83,524
    ",79,"
    佩金阿
    
      ","1888,00",,"
          12天7时
      "
"
      80,123
    ",79,"
    木容
    
      ","2400,00",,"
          12天7时
      "
"
      63,543
    ",75,"
    霸气小姐姐
    
      ","600,00",,"
          12天5时
      "
"
      54,167
    ",69,"
    骨刺
    
      ","299,00",,"
          12天5时
      "
"
      121,241
    ",81,"
    我要变得更强
    
      ","8999,00",,"
          12天5时
      "
"
      72,855
    ",79,"
    忆你花满月
    
      ","1500,00",,"
          12天4时
      "
"
      61,036
    ",76,"
    歌者与猫丶
    
      ","300,00",,"
          12天4时
      "
"
      58,421
    ",69,"
    再见杨雪
    
      ","300,00",,"
          12天1时
      "
"
      57,518
    ",71,"
    清醒梦境丶
    
      ","299,00",,"
          12天1时
      "
"
      56,382
    ",72,"
    宇宙
    
      ","299,00",,"
          12天1时
      "
"
      55,818
    ",69,"
    云丶天然灬
    
      ","299,00",,"
          11天23时
      "
"
      92,141
    ",80,"
    一袭白衣水月中
    
      ","3299,00",,"
          11天23时
      "
"
      46,935
    ",69,"
    丶澹台经藏
    
      ","299,00",,"
          11天22时
      "
"
      62,704
    ",74,"
    哎呀嘛呀扛不住
    
      ","450,00",,"
          11天22时
      "
"
      68,337
    ",79,"
    卜算子
    
      ","700,00",,"
          11天22时
      "
"
      48,290
    ",69,"
    刘梦璃
    
      ","299,00",,"
          11天22时
      "
"
      48,791
    ",69,"
    云舒丶
    
      ","299,00",,"
          11天22时
      "
"
      51,200
    ",70,"
    玉竹清
    
      ","299,00",,"
          11天20时
      "
"
      59,142
    ",73,"
    我为百炼来
    
      ","299,00",,"
          11天17时
      "
"
      59,966
    ",73,"
    职业商人
    
      ","299,00",,"
          11天16时
      "
"
      50,206
    ",73,"
    专业商人
    
      ","299,00",,"
          11天16时
      "
"
      60,441
    ",73,"
    洛璃丷
    
      ","299,00",,"
          11天13时
      "
"
      59,615
    ",72,"
    洛璃乀
    
      ","299,00",,"
          11天13时
      "
"
      50,437
    ",69,"
    地相弦符
    
      ","300,00",,"
          11天13时
      "
"
      63,502
    ",74,"
    雪狐灵
    
      ","480,00",,"
          11天11时
      "
"
      51,943
    ",69,"
    素九儿
    
      ","355,00",,"
          11天11时
      "
"
      56,290
    ",71,"
    混江言
    
      ","299,00",,"
          11天11时
      "
"
      89,344
    ",81,"
    幻缘
    
      ","1888,00",,"
          11天10时
      "
"
      56,349
    ",76,"
    铠甲勇士风鹰侠
    
      ","400,00",,"
          11天9时
      "
"
      56,008
    ",77,"
    姬无敌
    
      ","350,00",,"
          11天9时
      "
"
      49,519
    ",70,"
    湖畔的云
    
      ","299,00",,"
          11天8时
      "
"
      67,368
    ",75,"
    血魂丶
    
      ","899,00",,"
          11天7时
      "
"
      66,952
    ",75,"
    冷海
    
      ","350,00",,"
          11天6时
      "
"
      94,959
    ",80,"
    淅江静乄十三月
    
      ","2888,00",,"
          11天6时
      "
"
      70,107
    ",79,"
    但凡都会头铁丶
    
      ","650,00",,"
          11天6时
      "
"
      63,545
    ",72,"
    聂落羽
    
      ","300,00",,"
          11天6时
      "
"
      83,820
    ",79,"
    丿倾小城
    
      ","5278,09",,"
          11天6时
      "
"
      87,296
    ",79,"
    柠萌ゝ
    
      ","2888,00",,"
          11天5时
      "
"
      82,488
    ",79,"
    玄绮梦
    
      ","2000,00",,"
          11天4时
      "
"
      62,422
    ",73,"
    夜莺歌声美漫
    
      ","388,00",,"
          11天4时
      "
"
      64,927
    ",71,"
    红烧味小当家
    
      ","299,00",,"
          11天4时
      "
"
      63,547
    ",78,"
    西门萧风
    
      ","500,00",,"
          11天2时
      "
"
      61,000
    ",72,"
    ア随心
    
      ","299,00",,"
          11天0时
      "
"
      94,165
    ",79,"
    无名大叔
    
      ","3000,00",,"
          11天0时
      "
"
      59,248
    ",71,"
    让我刺一枪
    
      ","299,00",,"
          11天0时
      "
"
      71,006
    ",78,"
    轩辕承影
    
      ","1500,00",,"
          10天22时
      "
"
      55,678
    ",69,"
    竹青
    
      ","500,00",,"
          10天22时
      "
"
      63,499
    ",78,"
    东方落云
    
      ","400,00",,"
          10天22时
      "
"
      51,953
    ",69,"
    上官荭
    
      ","300,00",,"
          10天21时
      "
"
      103,406
    ",79,"
    凛冬ミ将至
    
      ","3333,00",,"
          6天13时
      "
"
      110,853
    ",81,"
    花酒丶
    
      ","5555,00",,"
          6天7时
      "
"
      62,588
    ",69,"
    我得到了
    
      ","299,00",,"
          4天20时
      "
"
      56,570
    ",70,"
    日暮相见
    
      ","299,00",,"
          3天23时
      "
